PassengerId,const,Pclass,Sex,SiblingsSpouses,Idioma_Rank,SiblingsSpouses_raiz4,PreTicket_Rank_Titulo_Rank,Pclass_Sex,Sex_Cabin_Letra_Rank_raiz4,Idioma_Rank_Titulo_Expandido_Rank_raiz4,Age_Titulo_Expandido_Rank,Survived
1,1.0,3,1,1,12,1.0,2,3,1.189207115002721,15.792888155429909,4.879074367905722,0
2,1.0,1,0,1,12,1.0,56,0,0.0,23.615876055185165,42.48165309219116,1
3,1.0,3,0,0,10,0.0,36,0,0.0,19.343364202676693,26.989146009181297,1
4,1.0,1,0,1,8,1.0,35,0,0.0,16.0,41.69650704780472,1
5,1.0,3,1,0,12,0.0,10,3,1.681792830507429,15.792888155429909,7.818095071463386,0
6,1.0,3,1,0,12,0.0,10,3,1.189207115002721,15.792888155429909,7.223076867563762,0
7,1.0,1,1,0,12,0.0,10,1,1.6265765616977856,16.970562748477143,16.151449158627653,0
8,1.0,3,1,3,1,1.3160740129524924,25,3,1.189207115002721,1.7782794100389228,1.1916801824669498,0
9,1.0,3,0,0,12,0.0,35,0,0.0,21.853923442054462,22.03471213605615,1
10,1.0,2,0,1,13,1.0,35,0,0.0,26.0,16.37571329407716,1
11,1.0,3,0,1,12,1.0,48,0,0.0,20.784609690826528,2.4289832581699473,1
12,1.0,1,0,0,12,0.0,30,0,0.0,23.21203704321203,60.75020434748472,1
13,1.0,3,1,0,8,0.0,2,3,1.189207115002721,11.313708498984761,5.902556448785544,0
14,1.0,3,1,1,4,1.0,10,3,1.189207115002721,4.756828460010884,5.814939422731008,0
15,1.0,3,0,0,1,0.0,30,0,0.0,1.9343364202676694,14.328749132317514,0
16,1.0,2,0,0,12,0.0,35,0,0.0,24.366518218427167,69.9247705128978,1
17,1.0,3,1,4,12,1.4142135623730951,25,3,1.189207115002721,21.33935292046707,1.1916801824669498,0
18,1.0,2,1,0,12,0.0,10,2,1.189207115002721,15.792888155429909,7.223076867563762,1
19,1.0,3,0,1,8,1.0,35,0,0.0,16.0,36.87349871376138,0
20,1.0,3,0,0,8,0.0,35,0,0.0,16.244345478951445,45.453166739281734,1
21,1.0,2,1,0,8,0.0,10,2,1.189207115002721,11.313708498984761,10.42412676195118,0
22,1.0,2,1,0,12,0.0,10,2,1.7320508075688772,16.970562748477143,10.122688741073471,1
23,1.0,3,0,0,12,0.0,30,0,0.0,23.21203704321203,15.383782205389497,1
24,1.0,1,1,0,12,0.0,10,1,1.3160740129524924,16.970562748477143,8.314060615807216,1
25,1.0,3,0,3,1,1.3160740129524924,30,0,0.0,1.7320508075688772,5.141925446069328,0
26,1.0,3,0,1,4,1.0,35,0,0.0,7.284641147351487,31.15321226760685,1
27,1.0,3,1,0,8,0.0,10,3,1.189207115002721,11.313708498984761,9.630769156751683,0
28,1.0,1,1,3,9,1.3160740129524924,10,1,1.4953487812212205,10.70286403502449,2.8005592139539175,0
29,1.0,3,0,0,8,0.0,30,0,0.0,15.474691362141355,22.5305473373634,1
30,1.0,3,1,0,12,0.0,10,3,1.189207115002721,16.970562748477143,9.630769156751683,0
31,1.0,1,1,0,5,0.0,8,1,1.189207115002721,5.0,2.9828292165849315,0
32,1.0,1,0,1,12,1.0,56,0,0.0,23.615876055185165,40.10573535818977,1
33,1.0,3,0,0,12,0.0,30,0,0.0,23.21203704321203,22.5305473373634,1
34,1.0,2,1,0,12,0.0,8,2,1.189207115002721,16.970562748477143,19.768705409160162,0
35,1.0,1,1,1,11,1.0,16,1,1.189207115002721,14.476814142477416,6.235545461855413,0
36,1.0,1,1,1,8,1.0,10,1,1.189207115002721,10.528592103619939,9.400644681071359,0
37,1.0,3,1,0,13,0.0,10,3,1.189207115002721,18.38477631085024,9.630769156751683,1
38,1.0,3,1,0,8,0.0,2,3,1.189207115002721,11.313708498984761,6.203994469663254,0
39,1.0,3,0,2,8,1.189207115002721,30,0,0.0,14.889677745633593,15.899041221090377,0
40,1.0,3,0,1,8,1.0,30,0,0.0,14.889677745633593,12.281784970557869,1
41,1.0,3,0,1,4,1.0,35,0,0.0,7.871958685061721,44.74243824877397,0
42,1.0,2,0,1,7,1.0,35,0,0.0,14.0,32.050490379718035,0
43,1.0,3,1,0,8,0.0,10,3,1.189207115002721,11.313708498984761,9.630769156751683,0
44,1.0,2,0,1,7,1.0,36,0,0.0,12.12435565298214,1.750747711195101,1
45,1.0,3,0,0,12,0.0,30,0,0.0,23.21203704321203,19.603914497677422,1
46,1.0,3,1,0,12,0.0,12,3,1.189207115002721,16.970562748477143,9.630769156751683,0
47,1.0,3,1,1,12,1.0,10,3,1.189207115002721,17.944185374654644,12.038461445939603,0
48,1.0,3,0,0,8,0.0,30,0,0.0,15.474691362141355,22.5305473373634,1
49,1.0,3,1,2,13,1.189207115002721,10,3,1.189207115002721,19.439534155875865,12.038461445939603,0
50,1.0,3,0,1,8,1.0,35,0,0.0,16.0,21.198721628120502,0
51,1.0,3,1,4,10,1.4142135623730951,25,3,1.189207115002721,17.78279410038923,4.959655443438315,0
52,1.0,3,1,0,12,0.0,2,3,1.189207115002721,16.970562748477143,6.203994469663254,0
53,1.0,1,0,1,12,1.0,56,0,0.0,24.0,58.57703621695643,1
54,1.0,2,0,1,8,1.0,35,0,0.0,15.743917370123443,32.30811988756847,1
55,1.0,1,1,0,12,0.0,10,1,1.681792830507429,18.781014960879446,29.200901082423677,0
56,1.0,1,1,0,12,0.0,10,1,1.4953487812212205,16.970562748477143,9.630769156751683,1
57,1.0,2,0,0,12,0.0,24,0,0.0,23.21203704321203,21.713980643821387,1
58,1.0,3,1,0,7,0.0,10,3,1.189207115002721,9.899494936611665,8.464779626246072,0
59,1.0,2,0,1,12,1.0,24,0,0.0,20.784609690826528,3.1072188051447913,1
60,1.0,3,1,5,12,1.4953487812212205,20,3,1.189207115002721,21.33935292046707,7.974035652215406,0
61,1.0,3,1,0,8,0.0,10,3,1.189207115002721,11.313708498984761,6.505432490540962,0
62,1.0,1,0,0,7,0.0,30,0,0.0,13.540354941873685,39.64954288604508,1
63,1.0,1,1,1,12,1.0,10,1,1.4953487812212205,15.792888155429909,10.078880228046204,0
64,1.0,3,1,3,4,1.3160740129524924,25,3,1.189207115002721,7.113117640155691,2.698870286855497,0
